overall_rank,preproc_id,model_name,param_combo,best_val_acc,top_k_accuracy,best_epoch,convergence_speed,preprocessing_type,model_rank,preproc_rank,accuracy_improvement,class_diversity,class_freq_json,loss,accuracy,auc,precision,recall,val_loss,val_accuracy,val_auc,val_precision,val_recall,val_top_k_accuracy,threshold,value,method,size,iterations,sigma
21.0,dilate,densenet,kernel_size-(5_5)_iterations-5,0.2058823555707931,0.35294117647058826,10,10,single,12.0,15.0,-0.011842217842105096,8,"{0: 38, 1: 32, 2: 26, 3: 21, 4: 27, 5: 4, 6: 23, 7: 33}",2.3655002117156982,0.116504855453968,0.5191851854324341,0.2777777910232544,0.0242718439549207,2.0842227935791016,0.1617647111415863,0.5276198983192444,0.0,0.0,0.6176470518112183,,,,(5,5.0,
16.0,dilate,densenet,kernel_size-(5_5)_iterations-7,0.2463768124580383,0.4264705882352941,9,9,single,7.0,10.0,0.02865223904514011,8,"{0: 24, 1: 8, 2: 43, 3: 29, 4: 11, 5: 13, 6: 48, 7: 28}",2.3033130168914795,0.1359223276376724,0.5345444679260254,0.1000000014901161,0.0048543689772486,2.0736210346221924,0.2058823555707931,0.5448900461196899,0.0,0.0,0.6764705777168274,,,,(5,7.0,
19.0,dilate,densenet,kernel_size-(9_9)_iterations-1,0.2205882370471954,0.4264705882352941,1,1,single,10.0,13.0,0.0028636636342972144,8,"{0: 39, 1: 21, 2: 40, 3: 34, 4: 11, 5: 13, 6: 22, 7: 24}",3.1482341289520264,0.1067961156368255,0.4787764847278595,0.0860215052962303,0.0388349518179893,2.2536163330078125,0.147058829665184,0.4937129318714142,0.0,0.0,0.6323529481887817,,,,(9,1.0,
21.0,dilate,densenet,kernel_size-(9_9)_iterations-2,0.2058823555707931,0.45588235294117646,5,5,single,12.0,15.0,-0.011842217842105096,8,"{0: 15, 1: 27, 2: 35, 3: 25, 4: 38, 5: 10, 6: 28, 7: 26}",2.536640882492065,0.1456310749053955,0.5168624520301819,0.190476194024086,0.0388349518179893,2.0908188819885254,0.2058823555707931,0.5255653858184814,0.0,0.0,0.6911764740943909,,,,(9,2.0,
17.0,dilate,densenet,kernel_size-(9_9)_iterations-3,0.2352941185235977,0.5441176470588235,9,9,single,8.0,11.0,0.017569545110699497,8,"{0: 13, 1: 37, 2: 49, 3: 29, 4: 26, 5: 19, 6: 22, 7: 9}",2.3506529331207275,0.1262135952711105,0.5220264792442322,0.0714285746216774,0.0048543689772486,2.07968544960022,0.2352941185235977,0.5404720902442932,0.0,0.0,0.6470588445663452,,,,(9,3.0,
17.0,dilate,densenet,kernel_size-(9_9)_iterations-5,0.2352941185235977,0.5,10,10,single,8.0,11.0,0.017569545110699497,8,"{0: 9, 1: 42, 2: 34, 3: 35, 4: 33, 5: 14, 6: 17, 7: 20}",2.2923879623413086,0.1407766938209533,0.5347363352775574,0.2666666805744171,0.0194174759089946,2.0482563972473145,0.2352941185235977,0.5782871842384338,0.0,0.0,0.7352941036224365,,,,(9,5.0,
21.0,dilate,densenet,kernel_size-(9_9)_iterations-7,0.2058823555707931,0.5294117647058824,4,4,single,12.0,15.0,-0.011842217842105096,8,"{0: 14, 1: 38, 2: 18, 3: 22, 4: 16, 5: 16, 6: 45, 7: 35}",2.522450685501098,0.1019417494535446,0.5478165149688721,0.1538461595773697,0.0388349518179893,2.098317623138428,0.1911764740943908,0.5374444127082825,0.0,0.0,0.6617646813392639,,,,(9,7.0,
29.0,dilate,efficientnet,kernel_size-(3_3)_iterations-5,0.147058829665184,0.35294117647058826,12,12,single,16.0,23.0,-0.017453476027318643,3,"{0: 68, 4: 68, 7: 68}",2.1074178218841557,0.1747572869062423,0.5036407709121704,0.0,0.0,2.0802180767059326,0.147058829665184,0.5035529136657715,0.0,0.0,0.6323529481887817,,,,(3,5.0,
28.0,dilate,efficientnet,kernel_size-(11_11)_iterations-1,0.159420296549797,0.36764705882352944,8,8,single,15.0,22.0,-0.0050920091427056335,3,"{0: 68, 5: 68, 7: 68}",2.127753973007202,0.1019417494535446,0.4721547365188598,0.0,0.0,2.0812673568725586,0.1176470592617988,0.4896502792835235,0.0,0.0,0.6176470518112183,,,,(11,1.0,
29.0,dilate,efficientnet,kernel_size-(11_11)_iterations-2,0.147058829665184,0.38235294117647056,6,6,single,16.0,23.0,-0.017453476027318643,3,"{3: 68, 5: 68, 6: 68}",2.1173689365386963,0.1116504818201065,0.5066688656806946,0.0,0.0,2.079506158828736,0.147058829665184,0.5037846565246582,0.0,0.0,0.6470588445663452,,,,(11,2.0,
27.0,dilate,efficientnet,kernel_size-(11_11)_iterations-3,0.1617647111415863,0.39705882352941174,3,3,single,14.0,21.0,-0.0027475945509163324,3,"{1: 68, 3: 68, 5: 68}",2.1234331130981445,0.1067961156368255,0.4997946619987488,0.0,0.0,2.080690383911133,0.1323529481887817,0.5090212821960449,0.0,0.0,0.6323529481887817,,,,(11,3.0,
30.0,dilate,efficientnet,kernel_size-(11_11)_iterations-5,0.1449275314807891,0.4264705882352941,8,8,single,17.0,24.0,-0.019584774211713535,4,"{0: 68, 2: 68, 3: 23, 5: 45}",2.120612621307373,0.1310679614543914,0.4825299680233001,0.0,0.0,2.084651470184326,0.1323529481887817,0.494577944278717,0.0,0.0,0.6029411554336548,,,,(11,5.0,
31.0,dilate,efficientnet,kernel_size-(11_11)_iterations-7,0.1323529481887817,0.38235294117647056,1,1,single,18.0,25.0,-0.032159357503720926,3,"{0: 68, 2: 68, 3: 68}",2.1523122787475586,0.1262135952711105,0.500240683555603,0.0,0.0,2.0831634998321533,0.1029411777853965,0.4956592917442322,0.0,0.0,0.6323529481887817,,,,(11,7.0,
25.0,dilate,efficientnet,kernel_size-(15_15)_iterations-1,0.1764705926179886,0.35294117647058826,8,8,single,12.0,19.0,0.01195828692548595,3,"{0: 68, 4: 68, 6: 68}",2.102848052978516,0.1407766938209533,0.5022234916687012,0.0,0.0,2.080493927001953,0.1176470592617988,0.4915966391563415,0.0,0.0,0.6176470518112183,,,,(15,1.0,
28.0,dilate,efficientnet,kernel_size-(15_15)_iterations-2,0.159420296549797,0.38235294117647056,8,8,single,15.0,22.0,-0.0050920091427056335,3,"{1: 68, 5: 68, 6: 68}",2.1338376998901367,0.1116504818201065,0.4701752960681915,0.0,0.0,2.078399419784546,0.1323529481887817,0.5130375623703003,0.0,0.0,0.6470588445663452,,,,(15,2.0,
25.0,dilate,efficientnet,kernel_size-(15_15)_iterations-3,0.1764705926179886,0.38235294117647056,8,8,single,12.0,19.0,0.01195828692548595,3,"{2: 68, 5: 68, 6: 68}",2.1112630367279053,0.1407766938209533,0.5042871236801147,0.0,0.0,2.0797762870788574,0.1323529481887817,0.499073177576065,0.0,0.0,0.6323529481887817,,,,(15,3.0,
